2398 MHz, 3003 MHz, 42, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
